property;n;sum;min;max;Gini
http://www.wikidata.org/prop/direct/P539;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P536;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P534;27;654;1;456;0.858874165
http://www.wikidata.org/prop/direct/P535;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P532;392;10725;1;1086;0.864242186
http://www.wikidata.org/prop/direct/P542;591;872;1;20;0.27823313
http://www.wikidata.org/prop/direct/P531;213;845;1;27;0.428469039
http://www.wikidata.org/prop/direct/P529;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P533;778;1008;1;41;0.216565675
http://www.wikidata.org/prop/direct/P530;268;6657;1;194;0.597911188
http://www.wikidata.org/prop/direct/P525;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P523;57;109;1;10;0.376307742
http://www.wikidata.org/prop/direct/P528;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P522;24;973;1;414;0.821043165
http://www.wikidata.org/prop/direct/P521;628;1715;1;36;0.498572914
http://www.wikidata.org/prop/direct/P518;118;128;1;3;0.073622881
http://www.wikidata.org/prop/direct/P517;5;240;1;124;0.438333333
http://www.wikidata.org/prop/direct/P520;974;4329;1;163;0.650827024
http://www.wikidata.org/prop/direct/P541;2250;26731;1;2025;0.824666974
http://www.wikidata.org/prop/direct/P511;196;47560;1;20232;0.977502961
http://www.wikidata.org/prop/direct/P516;1354;8956;1;4024;0.793001465
http://www.wikidata.org/prop/direct/P508;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P506;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P512;1023;93170;1;14559;0.950085272
http://www.wikidata.org/prop/direct/P505;469;1217;1;28;0.418860037
http://www.wikidata.org/prop/direct/P503;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P502;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P501;196;230;1;7;0.13527063
http://www.wikidata.org/prop/direct/P500;80;114;1;7;0.25
http://www.wikidata.org/prop/direct/P498;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P509;1456;102158;1;9372;0.939938073
http://www.wikidata.org/prop/direct/P504;928;5047;1;205;0.712214451
http://www.wikidata.org/prop/direct/P497;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P494;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P493;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P492;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P490;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P489;53;164;1;52;0.61988035
http://www.wikidata.org/prop/direct/P488;14906;16113;1;19;0.071429611
http://www.wikidata.org/prop/direct/P487;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P486;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P496;0;0;2147483647;0;1
